sku,nombre,status,stock_total,reorder_point,qty_to_reorder,velocidad,prediccion_prophet,disponibilidad_galerias,disponibilidad_millennium,cantidad_en_transito
10118,UNI-T UT363 Anemometro Medidor de viento y temperatura,OPTIMO,21.00,12.68,0.00,0.07,17.35,17.00,4.00,0
10117,UNI-T UT333 Termohigrometro Temperatura y Humedad,OPTIMO,18.00,9.82,0.00,0.03,15.64,16.00,2.00,0
10108,UNI-T UT306S Termómetro Profesional Ultima Generación,CRITICO,0.00,7.04,7.04,0.00,14.08,0.00,0.00,0
10100,ZIBOO TP88A Punta Perforadora Universal,SOBRESTOCK,26.00,5.90,0.00,0.05,5.79,19.00,7.00,0
10094,UNI-T UT18D Probador de Voltaje y Continuidad,CRITICO,0.00,0.13,0.13,0.00,0.26,0.00,0.00,0
10061,UNI-T UT-T10K Termocupla,CRITICO,0.00,0.78,0.78,0.00,1.55,0.00,0.00,0
10085,UNI-T UT387 Escaner de Pared,CRITICO,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0
10084,ZIBOO C35 Bolso de Multimetro Pequeño,CRITICO,0.00,0.32,0.32,0.00,0.64,0.00,0.00,0
10083,ZIBOO C25 Bolso de Multimetro Grande,CRITICO,0.00,0.56,0.56,0.00,1.12,0.00,0.00,0
10079,UNI-T UT116C Multimetro SMD Tipo Pinza,SOBRESTOCK,2.00,0.27,0.00,0.00,0.53,0.00,2.00,0
10069,UNI-T UT-LS15-US Divisor de linea,CRITICO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
10060,UNI-T Estuche Profesional,CRITICO,0.00,0.18,0.18,0.00,0.36,0.00,0.00,0
10059,JCD Resistencia de Pistola de Aire,SOBRESTOCK,8.00,0.00,0.00,0.00,0.01,6.00,2.00,0
10058,UNI-T UT12E detector de voltaje,CRITICO,0.00,0.02,0.02,0.00,0.04,0.00,0.00,0
10051,UNI-T UT-L20 Puntas de Prueba Universal,REORDER,85.00,93.13,8.13,0.81,89.27,77.00,8.00,0
10047,UNI-T UT139S Multimetro Profesional Ambiente Oscuro,CRITICO,0.00,0.31,0.31,0.00,0.62,0.00,0.00,0
10045,UNI-T UT501A Megohmetro Medidor de resistencia Aislamiento,SOBRESTOCK,76.00,20.71,0.00,0.10,29.41,74.00,2.00,0
10044,Servicio Delivery,CRITICO,0.00,0.06,0.06,0.00,0.12,0.00,0.00,0
10042,UNI-T UT12D Lapiz Detector de Voltaje,OPTIMO,104.00,43.55,0.00,0.33,48.10,101.00,3.00,0
10040,JCD Puntas Cautín Negras (Pack de 5 Variadas),CRITICO,0.00,0.98,0.98,0.00,1.97,0.00,0.00,0
10034,UNI-T UT502A Megohmetro Medidor de Resistencia Aislamiento 2500v,SOBRESTOCK,106.00,8.92,0.00,0.07,9.85,104.00,2.00,0
10030,UNI-T UT202A+ Pinza Amperímetrica,REORDER,59.00,115.89,56.89,1.01,110.79,54.00,5.00,0
10029,JCD Paquete Puntas de Cautín Plateadas (5*variadas),CRITICO,0.00,0.24,0.24,0.00,0.48,0.00,0.00,0
10002,ZIBOO ZB07 Puntas Perforadoras (4* unidades),CRITICO,0.00,1.86,1.86,0.00,3.71,0.00,0.00,0
10011,JCD Pinza antiestatica curva,SOBRESTOCK,52.00,1.37,0.00,0.02,0.74,41.00,11.00,0
10016,UNI-T UT210D Pinza Amperímetrica,CRITICO,0.00,4.06,4.06,0.00,8.11,0.00,0.00,0
10007,UNI-T UT204+ Pinza Amperímetrica,REORDER,28.00,50.24,22.24,0.38,55.49,28.00,0.00,0
00000a,UNI-T UT202+ Pinza amperímetrica,SOBRESTOCK,175.00,52.56,0.00,0.26,74.11,173.00,2.00,0
10028,UNI-T UT216C Pinza Amperímetrica Profesional,OPTIMO,12.00,9.29,0.00,0.03,14.57,10.00,2.00,0
10018,JCD Pack Conectores banana (2 pares),OPTIMO,2.00,0.93,0.00,0.00,1.86,0.00,2.00,0
10000,UNI-T UT136B+ Multímetro Profesional,REORDER,24.00,42.89,18.89,0.31,48.78,24.00,0.00,0
10017,UNI-T UT89XD Multímetro Profesional,SOBRESTOCK,39.00,5.55,0.00,0.03,7.10,37.00,2.00,0
10024,UNI-T UT89X Multímetro Profesional,OPTIMO,103.00,74.50,0.00,0.73,61.00,101.00,2.00,0
10019,UNI-T UT139C Multímetro Profesional,REORDER,2.00,9.76,7.76,0.10,7.51,0.00,2.00,0
10001,JCD Cautin regulable 60w 908,SOBRESTOCK,199.00,3.03,0.00,0.01,5.06,195.00,4.00,0
